colour	x	y	clickSelects	showSelected1	fill
#00BA38	2.62	21	6	6	#00BA38
#00BA38	2.875	21	6	6	#00BA38
#F8766D	2.32	22.8	4	4	#F8766D
#00BA38	3.215	21.4	6	6	#00BA38
#619CFF	3.44	18.7	8	8	#619CFF
#00BA38	3.46	18.1	6	6	#00BA38
#619CFF	3.57	14.3	8	8	#619CFF
#F8766D	3.19	24.4	4	4	#F8766D
#F8766D	3.15	22.8	4	4	#F8766D
#00BA38	3.44	19.2	6	6	#00BA38
#00BA38	3.44	17.8	6	6	#00BA38
#619CFF	4.07	16.4	8	8	#619CFF
#619CFF	3.73	17.3	8	8	#619CFF
#619CFF	3.78	15.2	8	8	#619CFF
#619CFF	5.25	10.4	8	8	#619CFF
#619CFF	5.424	10.4	8	8	#619CFF
#619CFF	5.345	14.7	8	8	#619CFF
#F8766D	2.2	32.4	4	4	#F8766D
#F8766D	1.615	30.4	4	4	#F8766D
#F8766D	1.835	33.9	4	4	#F8766D
#F8766D	2.465	21.5	4	4	#F8766D
#619CFF	3.52	15.5	8	8	#619CFF
#619CFF	3.435	15.2	8	8	#619CFF
#619CFF	3.84	13.3	8	8	#619CFF
#619CFF	3.845	19.2	8	8	#619CFF
#F8766D	1.935	27.3	4	4	#F8766D
#F8766D	2.14	26	4	4	#F8766D
#F8766D	1.513	30.4	4	4	#F8766D
#619CFF	3.17	15.8	8	8	#619CFF
#00BA38	2.77	19.7	6	6	#00BA38
#619CFF	3.57	15	8	8	#619CFF
#F8766D	2.78	21.4	4	4	#F8766D
